Tanggal,Bulan,Tempratur,kelembapan udara rata2,Tekanan ,kecepatan ,arahangin,curahhujan
8,12,28.4,79,1000.3,2.0,50,26
9,12,29.7,74,999.1,2.0,130,26
10,12,28.5,81,999.8,1.2,270,0
11,12,29.0,75,999.3,1.8,50,0
12,12,27.9,80,999.5,0.4,360,7
13,12,28.6,78,999.1,2.6,270,95
14,12,28.0,78,1000.3,2.6,270,2
15,12,28.6,74,999.5,3.0,270,34
16,12,26.9,82,999.7,2.9,220,16
17,12,27.9,80,997.8,3.5,270,2
18,12,28.4,80,997.0,3.8,270,9
19,12,30.3,71,997.6,2.0,220,9
20,12,29.3,80,998.5,2.4,360,1
21,12,26.3,85,999.1,1.4,220,88
22,12,27.4,83,999.7,2.4,360,0
23,12,28.6,80,998.6,2.5,270,16
24,12,27.5,83,998.7,1.6,270,59
25,12,26.7,85,998.7,2.3,220,0
26,12,25.6,89,999.6,0.8,220,24
27,12,28.5,77,999.2,0.2,220,8
28,12,28.9,79,998.7,1.4,360,0
29,12,27.1,82,998.3,0.2,360,15
30,12,27.7,81,998.8,0.2,270,3
31,12,28.1,76,999.0,2.5,220,1
1,1,28.2,78,999.3,3.8,220,2
2,1,28.7,76,999.0,3.8,270,0
3,1,27.5,83,999.3,1.3,270,1
4,1,25.7,87,999.7,1.3,220,0
5,1,27.1,85,998.8,2.4,270,56
6,1,27.0,84,998.2,3.1,220,0
7,1,26.3,89,998.1,0.9,270,6
8,1,28.4,79,998.1,2.3,220,15
9,1,28.3,76,998.2,2.0,270,0
10,1,28.9,76,997.9,1.1,360,0
11,1,29.8,71,997.9,2.1,270,0
12,1,28.7,79,998.7,2.5,270,0
13,1,28.1,81,998.6,1.1,270,2
14,1,28.7,79,998.5,2.4,220,0
15,1,26.9,87,997.9,3.7,220,22
16,1,24.2,95,997.5,2.9,220,121
17,1,26.0,86,998.1,6.4,220,158
18,1,27.4,84,997.8,3.2,220,10
19,1,29.5,74,998.2,1.1,050,21
20,1,29.2,75,999.1,3.0,050,0
21,1,28.6,80,999.4,3.0,050,9
22,1,25.8,90,1000.3,1.5,270,2
23,1,27.2,86,1000.3,1.7,220,91
24,1,26.0,86,1000.9,2.5,220,21
25,1,25.2,89,1000.2,1.7,220,37
26,1,25.6,91,998.9,1.5,220,13
27,1,26.3,88,998.4,1.5,270,13
28,1,26.8,85,999.3,1.7,270,7
29,1,27.9,76,999.1,3.0,220,4
30,1,27.9,77,999.4,4.7,050,49
31,1,26.3,88,1000.4,0.2,360,0
1,2,25.8,91,1000.6,0.8,270,6
2,2,26.7,85,1000.7,3.2,270,69
3,2,28.6,76,999.8,1.2,270,0
4,2,27.4,82,999.9,2.6,270,5
5,2,27.0,84,1000.2,1.4,270,2
6,2,27.6,82,999.2,2.9,270,6
7,2,28.4,78,998.4,1.1,130,3
8,2,27.8,80,999.3,2.2,270,6
9,2,29.5,73,999.0,1.5,270,0
10,2,29.4,75,999.2,1.7,270,0
11,2,29.8,76,999.2,2.2,270,0
12,2,29.0,78,999.9,1.8,270,0
13,2,25.4,91,1001.3,2.3,270,0
14,2,27.8,81,1000.4,1.9,270,28
15,2,24.6,95,1001.4,1.5,270,73
16,2,28.4,77,1000.7,3.1,270,15
17,2,27.6,82,999.7,4.2,270,0
18,2,24.9,92,1000.8,2.0,270,74
19,2,26.7,86,999.7,4.4,270,21
20,2,28.1,75,999.8,5.9,270,4
21,2,28.1,75,999.8,5.2,270,0
22,2,27.8,81,999.9,3.0,270,8
23,2,27.6,84,998.8,2.6,270,2
24,2,27.5,85,998.6,3.0,270,30
25,2,29.1,75,998.0,3.0,270,3
26,2,29.4,73,997.8,1.9,270,0
27,2,29.5,75,999.0,1.7,220,0
28,2,28.4,81,1000.5,2.5,270,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
